BuilderSubdivisionID,Subdivision,Builder,Status,ProductStyle,City,County,State,Latitude,Longitude,SubmarketID,SubmarketName,UnitsPlanned,UnitsRemaining,AnnualStarts,AnnualClosings
A9D36D15-51EE-4AA8-9B0B-DE84648A3560,Pine Hill,Century Communities,Active,Single-Family Detached,Panama City,Bay,FL,30.248142,-85.519391,SM-29,Bay County Submarket 2,51,51,0.0,0.0
19A89E88-AE00-42C9-97AA-EE316475AE50,Plantation Woods,D.R. Horton Inc,Active,Single-Family Detached,Milton,Santa Rosa,FL,30.632433,-86.962997,SM-10,Milton,358,80,59.0,65.0
020AF351-9D62-4EFF-8CE7-53B0951B2D4A,Hammock Bay/Moonswept ,DSLD Homes,Built Out,Single-Family Detached,Freeport,Walton,FL,30.459818,-86.179822,SM-20,Freeport,59,0,0.0,0.0
F01F7486-AFEA-4994-B627-B94E67967E8D,Alys Beach/BK LL ,Alys Beach Construction ,Active,Single-Family Detached,Inlet Beach,Walton,FL,30.283785,-86.029264,SM-22,Walton and Bay Beaches,10,10,0.0,0.0
3CCACB1E-064A-42AB-A7BC-3D537AC335CC,Alys Beach/BK EE,Alys Beach Construction  | Arkon Group | Gulfview Development & Construction LLC | Hufham/Farris Construction LLC,Active,Single-Family Detached,Inlet Beach,Walton,FL,30.28724,-86.03195,SM-22,Walton and Bay Beaches,20,19,10.0,1.0
9FB3D946-1104-4043-8C7C-A3A58BDF896C,Bear Run,D.R. Horton Inc,Active,Single-Family Detached,Saraland,Mobile,AL,30.864247,-88.119349,SM-02,Central Mobile,262,262,8.0,0.0
F930FEF7-CA96-4847-A5CD-B21BF27BA262,Jackson Creek Oaks,Cretin Townsend Homes,Active,Single-Family Detached,Theodore,Mobile,AL,30.545543,-88.301217,SM-02,Central Mobile,13,12,2.0,1.0
C6BDA09A-542C-4DBC-A4A3-8AE433E21786,Pine Top,Adams Homes,Active,Single-Family Detached,Cantonment,Escambia,FL,30.621976,-87.338027,SM-11,Cantonment,70,36,14.0,16.0
242369C9-A539-4C7D-945F-81BAA42E3279,Grand Lagoon Pointe,Southern Coastal Homes,Active,Single-Family Detached,Panama City,Bay,FL,30.163093,-85.778101,SM-22,Walton and Bay Beaches,30,30,2.0,0.0
6CC6650F-FC1B-49A4-B7B7-F960C38F7AF9,Sunny Hills/Unit 16,,Active,Single-Family Detached,Chipley,Washington,FL,30.549815,-85.515393,SM-25,Washington County,1355,1355,0.0,0.0
9E9B1F7D-F61F-4C57-815C-67DEC1FBA7BC,Colony Parke Estates,Adams Homes,Active,Single-Family Detached,Gulf Shores,Baldwin,AL,30.253725,-87.750582,SM-04,South Baldwin,63,18,26.0,30.0
94B67D82-5A44-417F-9AEB-CE7505B54EF2,Ridgeway Landing,Adams Homes,Active,Single-Family Detached,Crestview,Okaloosa,FL,30.794487,-86.565812,SM-17,Crestview,146,14,25.0,37.0
0022317F-F00E-4521-BAAC-4D8A61A49238,Days Landing,D.R. Horton Inc,Built Out,Single-Family Detached,Crestview,Okaloosa,FL,30.815422,-86.502186,SM-17,Crestview,33,0,0.0,16.0
E91750FC-27C1-4653-8CA7-1BC62AAA54F7,Tealwood Estates,D.R. Horton Inc,Active,Single-Family Detached,Summerdale,Baldwin,AL,30.436369,-87.789628,SM-04,South Baldwin,589,589,10.0,0.0
C8381069-E425-442E-960C-47835FFDFA33,Watersound/Longleaf Park,Huff Homes,Active,Single-Family Detached,Inlet Beach,Walton,FL,30.304998,-86.020306,SM-22,Walton and Bay Beaches,172,78,26.0,24.0
B75B9B6E-B0AF-4CD3-9A5C-334B0623AA05,Iron Horse ,D.R. Horton Inc,Active,Single-Family Detached,Foley,Baldwin,AL,30.436321,-87.712169,SM-04,South Baldwin,284,284,0.0,0.0
8EE306DE-C81B-42BA-A8B7-AFD51E6B9174,Heritage Plantation ,Cadenhead & Davis Construction | D.R. Horton Inc | Halifax Homes | Phillips Homes,Active,Single-Family Detached,Laurel Hill,Okaloosa,FL,30.868452,-86.528066,SM-16,Laurel Hill,289,47,21.0,32.0
7D11E948-B45E-46CB-B994-DC6A70E3660C,Bluffs at Lafayette,Adams Homes | D.R. Horton Inc | DSLD Homes,Active,Single-Family Detached,Freeport,Walton,FL,30.53381,-86.102218,SM-20,Freeport,1114,901,50.0,79.0
